,dimensions, bond type, name, void fraction [widom], supercell volume [A^3], density [kg/m^3], heat desorption high P [kJ/mol], heat desorption error high P [kJ/mol], absolute methane uptake high P [molec/unit cell], absolute methane uptake error high P [molec/unit cell], absolute methane uptake high P [mol/kg], absolute methane uptake error high P [mol/kg], excess methane uptake high P [molec/unit cell], excess methane uptake error high P [molec/unit cell], excess methane uptake high P [mol/kg], excess methane uptake error high P [mol/kg], heat desorption low P [kJ/mol], heat desorption error low P [kJ/mol], absolute methane uptake low P [molec/unit cell], absolute methane uptake error low P [molec/unit cell], absolute methane uptake low P [mol/kg], absolute methane uptake error low P [mol/kg], excess methane uptake low P [molec/unit cell], excess methane uptake error low P [molec/unit cell], excess methane uptake low P [mol/kg], excess methane uptake error low P [mol/kg], surface area [m^2/g], deliverable capacity [v STP/v], linkerA, linkerB, net, cell_a [A], cell_b [A], cell_c [A], alpha [deg], beta [deg], gamma [deg], chemical formula, num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A], absolute methane uptake high P [v STP/v], absolute methane uptake low P [v STP/v]
2108,3, amide, linker100_CO_linker102_NH_pts_relaxed,0.817438,44417.67511661999,415.531596661243,15.37081,0.960975,275.4566,1.8791562362,24.782340243,0.1690643434,209.9191510694,1.8791562362,18.886052559,0.1690643434,12.20344,0.684196,47.433,1.6841767128,4.267462623,0.1515223826,42.2509873959,1.6841767128,3.8012461682,0.1515223826,5427.78,190.738960359, linker100_CO, linker102_NH, pts,31.551,31.551,44.62,90.0,90.0,90.0, C688H416N64O96,688,0,416,64,96,0,0,2,1,5,10.07308,7.97171,10.07305,230.41608635349095,39.67712599415234
4354,3, amide, linker100_CO_linker11_NH_und_relaxed,0.906669,170638.87377923715,195.118975792334,9.04751,0.330018,627.5332,5.9342500655,31.2973979626,0.295962964,348.2751961148,5.9342500655,17.3697700987,0.295962964,8.06201,0.220708,63.2644,1.6992288133,3.1552292431,0.0847468156,41.1836123046,1.6992288133,2.0539788235,0.0847468156,6610.88,122.863673993, linker100_CO, linker11_NH, und,61.4395,61.4395,45.2046,90.0,90.0,90.0, C896H832N384O192,896,0,832,384,192,0,0,1,2,9,22.92872,19.80701,22.92872,136.63884039744053,13.775166404583194
4379,3, amide, linker100_CO_linker12_NH_und_relaxed,0.91138,169122.8742659388,199.343239939141,8.88384,0.333994,610.9794,3.2880127981,30.0934315229,0.1619491393,332.7642784324,3.2880127981,16.390109104,0.1619491393,7.89099,0.259978,61.1544,1.211447795,3.0121240564,0.0596691497,39.1560724767,1.211447795,1.9286093537,0.0596691497,6468.33,120.791832084, linker100_CO, linker12_NH, und,61.2571,61.2571,45.0702,90.0,90.0,90.0, C896H576N128O448,896,0,576,128,448,0,0,1,2,9,22.45295,20.51142,22.45295,134.22692873449577,13.435096650583016
4401,3, amide, linker100_CO_linker13_NH_qzd_relaxed,0.807619,36029.136388143175,342.169525828903,13.29172,0.485591,190.0804,1.7331601657,25.6030182361,0.2334492737,137.558640563,1.7331601657,18.528561508,0.2334492737,10.45917,0.340276,25.0376,1.1417639686,3.3724578094,0.1537907312,20.8847313145,1.1417639686,2.8130841302,0.1537907312,6776.1,170.199455782, linker100_CO, linker13_NH, qzd,30.2699,30.2699,45.4047,90.0,90.0,120.0, C432H408N48O72,432,0,408,48,72,0,0,1,2,4,10.1211,8.74311,10.09195,196.01933943706527,25.819883655195873
4402,3, amide, linker100_CO_linker13_NH_und_relaxed,0.890967,170057.23728679732,193.316441932858,9.13903,0.405562,625.6888,3.240921696,31.604103625,0.1637018676,352.2024693254,3.240921696,17.7900632672,0.1637018676,8.4118,0.447637,65.8592,2.3355196081,3.3266073829,0.1179691945,44.2347755567,2.3355196081,2.2343382693,0.1179691945,6880.61,122.314001503, linker100_CO, linker13_NH, und,61.3696,61.3696,45.1532,90.0,90.0,90.0, C1152H1088N128O192,1152,0,1088,128,192,0,0,1,2,9,21.93889,20.05851,21.93864,136.70320544674715,14.389203943297872
2221,3, amide, linker100_CO_linker14_NH_qtz_relaxed,0.930417,28990.375503973926,133.819970260421,7.86424,0.283131,87.0088,1.0132082905,37.2423792121,0.4336835743,38.3220971951,1.0132082905,16.4030083847,0.4336835743,6.93851,0.330191,8.301,0.1667860905,3.5530772731,0.0713894552,4.4513672831,0.1667860905,1.9053188685,0.0713894552,7670.44,100.874029423, linker100_CO, linker14_NH, qtz,30.8673,30.8673,35.1339,90.0,90.0,120.0, C132H102N12O30,132,0,102,12,30,0,0,1,1,4,20.25057,18.34605,20.17233,111.51281386726372,10.638784443784298
3037,3, amide, linker100_CO_linker14_NH_qtz_relaxed_interp_2,0.85559,28990.375503973926,267.639940520842,10.96151,0.226174,129.5544,1.0385509906,27.726586813,0.2222655055,84.7832317465,1.0385509906,18.1448845837,0.2222655055,9.74343,0.40309,15.5582,0.822507775,3.3296884008,0.1760290135,12.0181665996,0.822507775,2.5720681008,0.1760290135,6983.64,146.100590195, linker100_CO, linker14_NH, qtz,30.8673,30.8673,35.1339,90.0,90.0,120.0, C264H204N24O60,264,0,204,24,60,0,0,1,1,4,17.07834,16.21371,17.07834,166.04039698129992,19.939806786230324
3738,3, amide, linker100_CO_linker15_NH_sod_relaxed,0.958671,161253.8957385916,85.102412887961,6.97799,0.211407,416.4044,1.4096868305,50.3862722798,0.1705766425,137.3693931194,1.4096868305,16.622138586,0.1705766425,5.97216,0.251509,37.1354,0.8666012693,4.4935028919,0.1048615421,15.0722445639,0.8666012693,1.8237900907,0.1048615421,7767.89,87.3881544169, linker100_CO, linker15_NH, sod,54.4298,54.4298,54.4298,90.0,90.0,90.0, C480H336N72O72,480,0,336,72,72,0,0,1,1,7,49.32268,26.11271,49.32268,95.94459870710205,8.556444290191878
3933,3, amide, linker100_CO_linker15_NH_sod_relaxed_interp_2,0.913337,161253.8957385916,170.204825775923,8.88812,0.433159,558.7668,3.8404719293,33.8062903823,0.2323547305,292.9269069822,3.8404719293,17.7225491533,0.2323547305,8.75383,0.537903,61.611,1.3945281639,3.727564624,0.0843711975,40.5911754757,1.3945281639,2.4558314221,0.0843711975,7036.84,114.550695732, linker100_CO, linker15_NH, sod,54.4298,54.4298,54.4298,90.0,90.0,90.0, C960H672N144O144,960,0,672,144,144,0,0,1,1,7,23.26458,20.24763,22.67284,128.7466136210238,14.195917888843333
2222,3, amide, linker100_CO_linker16_NH_qtz_relaxed,0.929355,47954.12199758938,149.324733796226,8.29321,0.220369,159.311,4.8263808387,36.9434184638,1.1192134064,78.8683313041,4.8263808387,18.2891687762,1.1192134064,7.46314,0.19914,15.4204,0.557829508,3.5759130887,0.1293578532,9.0598392841,0.557829508,2.1009310963,0.1293578532,7548.67,111.486406216, linker100_CO, linker16_NH, qtz,33.9139,33.914,48.1436,89.998,89.998,120.0, C240H180N48O36,240,0,180,48,36,0,0,1,1,4,22.10169,21.70769,22.10169,123.43412885015384,11.947722633736644
3038,3, amide, linker100_CO_linker16_NH_qtz_relaxed_interp_2,0.85577,47954.12199758938,298.649467592452,11.81001,0.527251,239.982,3.0699443643,27.8253085154,0.3559523175,165.9086667852,3.0699443643,19.2366920797,0.3559523175,11.70903,0.445799,38.0652,1.3654633792,4.4135640744,0.15832204,32.2082593865,1.3654633792,3.7344665607,0.15832204,6919.12,156.445093611, linker100_CO, linker16_NH, qtz,33.9139,33.914,48.1436,89.998,89.998,120.0, C480H360N96O72,480,0,360,96,72,0,0,1,1,4,21.8925,21.60003,21.8925,185.93800245911973,29.492908848255137
2223,3, amide, linker100_CO_linker17_NH_qtz_relaxed,0.925902,29112.2477351626,153.784434078848,7.93058,0.336502,88.5368,1.6838139565,32.8386059709,0.6245324322,39.8826772152,1.6838139565,14.7926232045,0.6245324322,7.06416,0.280547,8.7988,0.2646095992,3.2635054149,0.0981446174,4.9517433686,0.2646095992,1.8366187772,0.0981446174,7044.28,101.766546449, linker100_CO, linker17_NH, qtz,30.912,30.912,35.1796,90.0,90.0,120.0, C120H78N36O42,120,0,78,36,42,0,0,1,1,4,21.55685,19.90086,21.55685,112.99611690304408,11.22957045443824
3039,3, amide, linker100_CO_linker17_NH_qtz_relaxed_interp_2,0.845017,29112.2477351626,307.568868157696,10.89842,0.278627,129.506,1.4329365652,24.017112121,0.2657405692,85.1022068628,1.4329365652,15.7823517364,0.2657405692,10.23837,0.447787,16.7886,0.4439326075,3.113474963,0.0823280714,13.2776147624,0.4439326075,2.4623566665,0.0823280714,5870.34,143.856887841, linker100_CO, linker17_NH, qtz,30.912,30.912,35.1796,90.0,90.0,120.0, C240H156N72O84,240,0,156,72,84,0,0,1,1,4,19.75894,18.53447,19.75894,165.28353312579154,21.426645284858104
2224,3, amide, linker100_CO_linker18_NH_qtz_relaxed,0.926989,29359.274775443075,152.490501790593,7.88602,0.277054,90.362,1.8442572489,33.5155789767,0.6840414054,41.2374267612,1.8442572489,15.2951045064,0.6840414054,7.14225,0.559863,8.7778,0.3269358347,3.2557164421,0.1212616342,4.8935450916,0.3269358347,1.8150328345,0.1212616342,7031.95,103.246698245, linker100_CO, linker18_NH, qtz,31.0013,31.0014,35.2739,90.0,90.0,120.0, C120H78N36O42,120,0,78,36,42,0,0,1,1,4,20.39116,19.43022,20.31564,114.35520783257178,11.10850958711156
3040,3, amide, linker100_CO_linker18_NH_qtz_relaxed_interp_2,0.846849,29359.274775443075,304.981003581186,10.80151,0.251063,129.1982,2.4963722158,23.9600300776,0.4629565534,84.3205415567,2.4963722158,15.6373905508,0.4629565534,10.29769,0.381032,17.2052,1.0630495003,3.1907341549,0.197144372,13.6567464747,1.0630495003,2.5326672995,0.197144372,6150.65,141.729740276, linker100_CO, linker18_NH, qtz,31.0013,31.0014,35.2739,90.0,90.0,120.0, C240H156N72O84,240,0,156,72,84,0,0,1,1,4,19.75452,18.42467,19.72755,163.50332011888756,21.773579843316266
4500,3, amide, linker100_CO_linker19_NH_und_relaxed,0.95506,177130.42424279507,98.795135712667,7.28475,0.284983,493.419,3.9385337373,46.8205113358,0.3737273261,188.0656384671,3.9385337373,17.8455417358,0.3737273261,6.26607,0.172386,43.8034,1.2846805673,4.1565030658,0.1219032933,19.6592657075,1.2846805673,1.8654670228,0.1219032933,7917.76,94.3112812305, linker100_CO, linker19_NH, und,78.3784,78.3784,28.8337,90.0,90.0,90.0, C640H416N64O96,640,0,416,64,96,0,0,1,2,9,33.44817,31.2278,33.10342,103.49947393596392,9.188192705503068
4524,3, amide, linker100_CO_linker19_NH_und_relaxed_interp_2,0.909023,177130.42424279507,197.590271425333,9.58597,0.298052,714.8894,6.0246675062,33.9179148518,0.2858402425,424.2550641879,6.0246675062,20.128773965,0.2858402425,8.59609,0.329108,75.957,1.8611321286,3.6037785123,0.0883013807,52.9766915513,1.8611321286,2.5134781872,0.0883013807,7451.93,134.022336555, linker100_CO, linker19_NH, und,78.3784,78.3784,28.8337,90.0,90.0,90.0, C1280H832N128O192,1280,0,832,128,192,0,0,1,2,9,20.67449,17.19836,20.61374,149.9550621730141,15.932725618038392
4012,3, amide, linker100_CO_linker1_NH_und_relaxed,0.925195,168796.90515356004,168.888541814087,8.73057,0.166832,601.0774,3.0795266129,35.0118244345,0.1793776394,319.1893644591,3.079526613,18.5922844376,0.1793776394,7.57908,0.23268,57.5018,1.1536054091,3.3493904883,0.0671957223,35.2130570453,1.1536054091,2.0511058494,0.0671957223,7041.7,119.649506207, linker100_CO, linker1_NH, und,61.2176,61.2176,45.0414,90.0,90.0,90.0, C896H640N192O192,896,0,640,192,192,0,0,1,2,9,22.55914,20.79449,22.55914,132.30655331495277,12.657047108238997
4035,3, amide, linker100_CO_linker1_NH_und_relaxed_interp_2,0.842413,168796.90515356004,337.777083628164,12.54813,0.283021,899.775,3.9477319057,26.205247719,0.1149746242,643.1089504816,3.9477319058,18.7300484651,0.1149746242,10.93923,0.522198,128.8568,1.4689949762,3.7528541739,0.0427833372,108.5623465943,1.4689949762,3.1617939879,0.0427833372,5998.88,169.691174431, linker100_CO, linker1_NH, und,61.2176,61.2176,45.0414,90.0,90.0,90.0, C1792H1280N384O384,1792,0,1280,384,384,0,0,1,2,9,15.3654,11.82962,15.1546,198.05457501659777,28.36340058606372
